noise,views,mse,psnr,ssim,detec_fijo
11200.0,220,0.01211878992774834,19.16540742705866,0.5840506924495772,512
11200.0,243,0.012114785049938206,19.166842870530022,0.5845229401791086,512
11200.0,267,0.012126924685994392,19.162493195981767,0.5847578422395212,512
11200.0,291,0.012126224707406787,19.162743882466398,0.5850462308855925,512
11200.0,315,0.01212195632421341,19.16427285099749,0.5850266835850412,512
11200.0,338,0.012128277651431832,19.16200869338631,0.5852847086392092,512
11200.0,362,0.012127694561683779,19.16221749364206,0.5852673039324949,512
11200.0,386,0.012128824128807945,19.161813012870866,0.5853379108439778,512
11200.0,410,0.012125900037773304,19.162860162777303,0.585565365600624,512
11200.0,433,0.012128565884198488,19.161905483007857,0.5856394986830709,512
11200.0,457,0.012132382583164975,19.160539030813183,0.5855944162486557,512
11200.0,481,0.01212365171601431,19.163665483837406,0.5857604179432151,512
11200.0,505,0.01212495126719436,19.1631999824579,0.5857079419233044,512
11200.0,528,0.012118625612629445,19.165466312173134,0.5859778842506671,512
11200.0,552,0.012123907745799262,19.163573769598713,0.5861384814040914,512
11200.0,576,0.012117310596498832,19.165937599310357,0.5861351774913933,512
11200.0,600,0.012123766901709592,19.163624222115782,0.5858828509673866,512
22300.0,30,0.012267535809110454,19.11242665633464,0.53769864635544,512
22300.0,53,0.012177274735928873,19.144498955765933,0.5702330246751096,512
22300.0,77,0.012143611281681281,19.156521430397305,0.5797646996584904,512
22300.0,101,0.012144526272925742,19.15619421251347,0.5830946233829406,512
22300.0,125,0.012137863701572667,19.158577435952,0.5845134345506745,512
22300.0,148,0.012134755244110772,19.15968978887389,0.5851055677167855,512
22300.0,172,0.012143591001688148,19.15652868317925,0.585636830672209,512
22300.0,196,0.012139104402558191,19.15813353406947,0.5861417708987966,512
22300.0,220,0.012141137898370975,19.15740608168116,0.5862444378457699,512
22300.0,243,0.012142289493627514,19.15699416992126,0.5868276641471571,512
22300.0,267,0.012136634842301146,19.159017145798238,0.5868066830519036,512
22300.0,291,0.012134847693684836,19.159656701937962,0.5868430025467345,512
22300.0,315,0.012133971293014356,19.159970368602583,0.5869360280349021,512
22300.0,338,0.01213266939927284,19.16043636245454,0.5869323262588362,512
22300.0,362,0.012137815819674021,19.158594568196925,0.5870726776671892,512
22300.0,386,0.012130030432022347,19.161381095668318,0.5872635420379948,512
22300.0,410,0.01212870294378591,19.161856405576316,0.5873366214456652,512
22300.0,433,0.012138610220076194,19.158310338787995,0.5871081998149948,512
22300.0,457,0.012137719768402935,19.15862893574928,0.587332765593214,512
22300.0,481,0.01213296275225218,19.160331356675673,0.5872308859935886,512
22300.0,505,0.012135601834706139,19.15938681053455,0.5873643070012562,512
22300.0,528,0.012137270365484528,19.15878973763349,0.5872540313426258,512
22300.0,552,0.012136883305692896,19.158928237153567,0.5872341426613813,512
22300.0,576,0.0121397619659803,19.157898287364407,0.5873273680604769,512
22300.0,600,0.012130931066334547,19.161058651306657,0.5873263298479389,512
33400.0,30,0.012235817905480078,19.123669948480032,0.541290548255132,512
33400.0,53,0.012174840179689582,19.145367311017864,0.5728123073758086,512
33400.0,77,0.012161158828250689,19.150250394764637,0.5813745560909525,512
33400.0,101,0.012144965510303347,19.156037141817166,0.5845944270397033,512
33400.0,125,0.012144105002663174,19.156344863530702,0.5857398020074889,512
33400.0,148,0.012143671946340617,19.156499734823907,0.5863389065499988,512
33400.0,172,0.01213721515008501,19.15880949479235,0.5868342401745668,512
33400.0,196,0.01213955895267356,19.157970915062002,0.5870631580655947,512
33400.0,220,0.012138914517101928,19.158201468941854,0.5872061749252911,512
33400.0,243,0.012138856031718602,19.158222393333737,0.5874080937296939,512
33400.0,267,0.012140751900263749,19.157544157299984,0.5875803707942566,512
33400.0,291,0.012135904095780584,19.159278642284004,0.5876611253640941,512
33400.0,315,0.012138399919880987,19.158385580519823,0.587684782227015,512
33400.0,338,0.012138130665630582,19.158481916884504,0.587792850418396,512
33400.0,362,0.012139822745769809,19.157876543724633,0.5878314644918289,512
33400.0,386,0.01213690429857142,19.158920725271656,0.5877742326823066,512
33400.0,410,0.01213252441052069,19.160488262155393,0.5877446578183966,512
33400.0,433,0.012140592931157572,19.157601023512367,0.5877717336101188,512
33400.0,457,0.012135713669831395,19.15934678849473,0.5879069075404324,512
33400.0,481,0.012137019127035416,19.158879636431255,0.5878353497070903,512
33400.0,505,0.01213866998965225,19.158288954516905,0.5879032967496163,512
33400.0,528,0.012138155563128406,19.158473008729594,0.5879315187403831,512
33400.0,552,0.012140347102702452,19.157688962398925,0.5879445254314583,512
33400.0,576,0.012136528372631595,19.15905524482107,0.587928308471306,512
33400.0,600,0.012140478554628567,19.15764193858931,0.5879028131512708,512
44500.0,30,0.012253880474128844,19.117263601456884,0.5430261506221475,512
44500.0,53,0.01218167597317575,19.142929567089475,0.5743579337056974,512
44500.0,77,0.012155099647129061,19.15241476473389,0.58220515773934,512
44500.0,101,0.012142976165188255,19.156748574362222,0.5852693629497605,512
44500.0,125,0.012147526683233257,19.15512138293502,0.5864149293895945,512
44500.0,148,0.012137601810950208,19.158671141798457,0.5869618965882563,512
44500.0,172,0.012139775583087596,19.157893415908728,0.5873450269737223,512
44500.0,196,0.012137162657340366,19.15882827781494,0.5875818841974564,512
44500.0,220,0.012143188770001962,19.15667253675178,0.5875967843153862,512
44500.0,243,0.012140812884956928,19.157522342136122,0.5879296680520602,512
44500.0,267,0.01213718600875478,19.15881992217124,0.5880258282307494,512
44500.0,291,0.012139367870599087,19.158039275489248,0.5880281575972645,512
44500.0,315,0.012143433763290289,19.156584917130665,0.5880032389071035,512
44500.0,338,0.012141553231193493,19.15725751762619,0.5881639162631735,512
44500.0,362,0.01214119615160862,19.157385244261157,0.5880912314831319,512
44500.0,386,0.012138888589580274,19.158210745052656,0.5881861982185982,512
44500.0,410,0.012141504434032122,19.15727497204911,0.5881518913237587,512
44500.0,433,0.012141811609927933,19.157165098425352,0.5882248714773833,512
44500.0,457,0.012139115627105134,19.158129518323015,0.588188751548697,512
44500.0,481,0.012139902759432598,19.15784791943708,0.5882113473731061,512
44500.0,505,0.012142292381009907,19.156993137188433,0.5881650385917053,512
44500.0,528,0.012142242573632311,19.15701095187526,0.5883169792748639,512
44500.0,552,0.012139687939733272,19.157924769999497,0.5882029112589373,512
44500.0,576,0.01214004870250315,19.157795709884425,0.5882765108552156,512
44500.0,600,0.012139345204209699,19.15804738455813,0.5883677100051147,512
55600.0,30,0.012252907918144807,19.117608302435787,0.5439545928694194,512
55600.0,53,0.012174313689752962,19.14555512179397,0.5748198308698808,512
55600.0,77,0.012152171677088642,19.15346103703729,0.582905252720748,512
55600.0,101,0.012143395547805004,19.156598584435006,0.5855755070737194,512
55600.0,125,0.012142969305524033,19.15675102772713,0.5868786745338361,512
55600.0,148,0.012145829826202251,19.15572808019899,0.5873156644273188,512
55600.0,172,0.012139461221392466,19.158005878710274,0.5877715942542946,512
55600.0,196,0.012140385299875727,19.157675298213427,0.5878744437141269,512
55600.0,220,0.012141390035180003,19.157315892039332,0.5881349168704477,512
55600.0,243,0.012139049009329892,19.158153351864488,0.5881249873565992,512
55600.0,267,0.012140341287909565,19.15769104251496,0.5882378373567764,512
55600.0,291,0.012138565611454018,19.158326298863905,0.5882465359876623,512
55600.0,315,0.012140546491640687,19.157617635933697,0.5883349023588929,512
55600.0,338,0.012137922440521682,19.158556419123723,0.5883221970462238,512
55600.0,362,0.012138751648653268,19.158259738849715,0.5883627418636509,512
55600.0,386,0.012141598711509284,19.157241249680222,0.5883840697197829,512
55600.0,410,0.012139898973437261,19.157849273844253,0.5884600846219425,512
55600.0,433,0.012141830031986356,19.15715850913497,0.5884233861253154,512
55600.0,457,0.0121431451097596,19.156688151625914,0.5885106677921953,512
55600.0,481,0.012140199844583406,19.157741641103943,0.5884005858776752,512
55600.0,505,0.012139892784330504,19.157851487944722,0.5884826406804027,512
55600.0,528,0.012140017095677238,19.15780701683079,0.5884801567784003,512
55600.0,552,0.012141429524367229,19.157301766878895,0.5884307768489649,512
