noise,detectors,mse,psnr,ssim,view_fijo
223000.0,101,0.011870911260331022,19.25515941521985,0.5203423892400535,360
223000.0,125,0.01172884327120847,19.30744817015116,0.5214282041038194,360
223000.0,148,0.011695907676307557,19.3196606855212,0.52466840522457,360
223000.0,172,0.011673800189378006,19.327877444157163,0.5292017510025817,360
223000.0,196,0.011534614552133029,19.379969135554227,0.5368628985543269,360
223000.0,220,0.011573291547274338,19.365431062584918,0.5413620512318962,360
223000.0,243,0.011478350100106668,19.401205330107686,0.5472209270203885,360
223000.0,267,0.011466172376580099,19.40581533550806,0.5526810787419371,360
223000.0,291,0.011466802090501134,19.405576830658596,0.5581559795847925,360
223000.0,315,0.011469176279592565,19.404677721661848,0.5631267140161259,360
223000.0,338,0.011476594403808832,19.401869665597935,0.5676833119415792,360
223000.0,362,0.01143419841485316,19.417942758502573,0.5721651022857798,360
223000.0,386,0.011440153087417889,19.415681639541834,0.576319623566216,360
223000.0,410,0.011449998443750992,19.41194572352076,0.5799316096023779,360
223000.0,433,0.011423283919233125,19.422090289286164,0.5839267473862988,360
223000.0,457,0.0114202235959032,19.42325392980161,0.5868508441514422,360
223000.0,481,0.011411486860518414,19.426577654635896,0.5902318607930553,360
223000.0,505,0.011486007358845082,19.398309098113568,0.5927491507643672,360
223000.0,528,0.01134334550538444,19.45258839601068,0.5955873347758309,360
223000.0,552,0.011417230203452625,19.42439242259711,0.5978724175889437,360
223000.0,576,0.011397027183145956,19.43208415884939,0.6003213463225124,360
223000.0,600,0.011412046120049311,19.42636481876296,0.6023445900771992,360
334000.0,30,0.013450509789475776,18.712612550994486,0.6354738233381391,360
334000.0,53,0.012356233840064193,19.08113881328133,0.5512675281372487,360
334000.0,77,0.011633556230389771,19.342875066687114,0.5323384578082122,360
334000.0,101,0.011868340445721487,19.256100043523645,0.5206667355436398,360
334000.0,125,0.01172559460993317,19.30865124794958,0.5217595995133747,360
334000.0,148,0.011694026996627345,19.3203590789289,0.5249551316211546,360
334000.0,172,0.011673443414657259,19.32801017527964,0.5294942575367021,360
334000.0,196,0.011531798678099737,19.38102948121635,0.5371811698402681,360
334000.0,220,0.011572333240627461,19.365790687604992,0.5416183813671526,360
334000.0,243,0.011477746324075713,19.40143378061927,0.547441388117691,360
334000.0,267,0.011466357277089813,19.405745302875562,0.5529285860567398,360
334000.0,291,0.011465827832380468,19.40594583755177,0.5583709132045759,360
